delta,kappa,gamma,optimal_alpha,max_profit,is_interior_optimum
5,0.5,0.25,0.8,73741.35704905856,True
15,0.5,0.25,0.8,69703.7557106194,True
30,1.0,0.25,0.79,63330.83841447474,True
50,1.0,0.25,0.79,55411.8909153709,True
30,2.0,0.25,0.79,62644.838436969905,True
50,2.0,0.25,0.79,54725.890903295374,True
15,1.0,0.15,0.8,39454.37454756088,True
30,1.0,0.15,0.79,34092.947149959706,True
50,1.0,0.15,0.78,27094.14809798865,True
15,1.0,0.4,0.8,114210.33326018113,True
30,1.0,0.4,0.8,107283.2115913909,True
50,2.0,0.4,0.79,97422.52287198532,True
